"scenario","age","gender","period","mean","lci","uci"
"status quo","0mo","male","months 4 to 6",3.56086759446455,0,19.7597550755014
"ceasefire","1 to 11mo","male","months 4 to 6",10.0026208280567,8.86796008381354,11.3157814453177
"escalation","1 to 11mo","male","months 4 to 6",283.098488666398,249.252827495797,322.660796851315
"status quo","1 to 11mo","male","months 4 to 6",220.842702038777,191.996994063459,253.100025754048
"ceasefire","12 to 59mo","male","months 4 to 6",57.0654091701196,50.5921177445475,64.5570505327408
"escalation","12 to 59mo","male","months 4 to 6",1623.69590209615,1434.87845033416,1849.6482974564
"status quo","12 to 59mo","male","months 4 to 6",1267.7838652009,1105.26179175423,1449.40787697178
"ceasefire","5 to 9yo","male","months 4 to 6",64.8541481035845,57.4973306035088,73.3683080042338
"escalation","5 to 9yo","male","months 4 to 6",1863.35288105038,1647.01669560712,2116.52396452962
"status quo","5 to 9yo","male","months 4 to 6",1458.37366207415,1274.39912629379,1664.60185428068
"ceasefire","10 to 14yo","male","months 4 to 6",68.9317019661001,61.1123416605072,77.9811698864233
"escalation","10 to 14yo","male","months 4 to 6",1985.07842107436,1756.41935217438,2255.84338073788
"status quo","10 to 14yo","male","months 4 to 6",1554.64200612633,1357.2320598398,1776.88745774121
"ceasefire","15 to 19yo","male","months 4 to 6",65.679298340751,58.2288788139355,74.3017853302101
"escalation","15 to 19yo","male","months 4 to 6",1890.40746311931,1672.47197536151,2148.14807172642
"status quo","15 to 19yo","male","months 4 to 6",1480.58622349898,1292.86707470865,1692.19126178866
"ceasefire","20 to 29yo","male","months 4 to 6",154.307961394248,136.803830294213,174.565765955268
"escalation","20 to 29yo","male","months 4 to 6",4439.38904282668,3927.07576154198,5044.34323949259
"status quo","20 to 29yo","male","months 4 to 6",3476.99756256846,3036.98006041858,3973.11959115618
"ceasefire","30 to 39yo","male","months 4 to 6",123.161152195955,109.190201280718,139.329952095535
"escalation","30 to 39yo","male","months 4 to 6",3531.61807937049,3123.70098164162,4012.72031294765
"status quo","30 to 39yo","male","months 4 to 6",2764.3082816416,2414.59998392548,3155.15936143916
"ceasefire","40 to 49yo","male","months 4 to 6",58.9615281186782,52.2731478904484,66.7020951150599
"escalation","40 to 49yo","male","months 4 to 6",1670.00748862454,1470.82163132295,1904.04110760971
"status quo","40 to 49yo","male","months 4 to 6",1303.55998890935,1133.86162806795,1491.52671933547
"ceasefire","50 to 59yo","male","months 4 to 6",42.5428539049094,37.7169480644547,48.1279501765902
"escalation","50 to 59yo","male","months 4 to 6",1168.90846481576,1011.4048571612,1344.6940390838
"status quo","50 to 59yo","male","months 4 to 6",904.868949540758,773.806531614679,1049.49044547636
"ceasefire","60 to 69yo","male","months 4 to 6",28.0653683137914,24.8817355193679,31.7498363159396
"escalation","60 to 69yo","male","months 4 to 6",743.171685232288,622.844426144227,871.293726041235
"status quo","60 to 69yo","male","months 4 to 6",569.824620791048,464.095124230158,678.494482161689
"ceasefire","70 to 79yo","male","months 4 to 6",13.1434231752907,11.6524812933244,14.868913522918
"escalation","70 to 79yo","male","months 4 to 6",294.815850786158,197.905639148637,391.763224869371
"status quo","70 to 79yo","male","months 4 to 6",214.175402932017,122.248888032008,303.689134445169
"ceasefire","80 to 100yo","male","months 4 to 6",3.41961315091956,3.031704734761,3.86854562504273
"escalation","80 to 100yo","male","months 4 to 6",22.3037316271427,0,92.0948648836434
"status quo","80 to 100yo","male","months 4 to 6",13.9763127028974,0,72.6462124556411
"ceasefire","0mo","female","months 4 to 6",0.832820160193927,0.738348085421705,0.94215416919286
"escalation","0mo","female","months 4 to 6",4.65670635773816,0,22.4727080819267
"status quo","0mo","female","months 4 to 6",2.8925585827812,0,17.560651801087
"ceasefire","1 to 11mo","female","months 4 to 6",9.16906909238531,8.12896341016242,10.3727996582079
"escalation","1 to 11mo","female","months 4 to 6",259.093101159927,227.753202055181,295.22539762253
"status quo","1 to 11mo","female","months 4 to 6",202.024830848644,175.425209906114,231.657324145644
"ceasefire","12 to 59mo","female","months 4 to 6",52.7113925613604,46.7320048646875,59.6314314174181
"escalation","12 to 59mo","female","months 4 to 6",1498.20807816546,1322.22918764053,1707.2868590164
"status quo","12 to 59mo","female","months 4 to 6",1169.45046322643,1019.03310130133,1337.26683376066
