"scenario","subperiod","age","base_mean","crisis_mean","excess_mean","base_lci","crisis_lci","excess_lci","base_uci","crisis_uci","excess_uci"
"escalation","months 4 to 6","30 to 39yo",20.9748239627248,6987.55345211032,6966.97395256535,16.4275580060944,5060.07214034131,5038.18491507828,26.0796595591562,23441.5112937708,23424.0800594029
"status quo","months 4 to 6","30 to 39yo",20.9863458650765,5410.47058621087,5389.84842458073,16.443711749486,3940.40092500707,3918.7026880632,26.1123744356173,18107.6298961609,18090.0420538552
"ceasefire","months 1 to 3","40 to 49yo",60.1054983676744,536.057452954532,475.504334122416,48.7859537968071,242.485683746801,182.820872596496,72.6420772444558,2849.43720921159,2791.62994569569
"escalation","months 1 to 3","40 to 49yo",60.1044721941966,3599.60430346131,3540.39716060038,48.7665227985425,2637.88773267374,2575.02695007419,72.5424305383986,11068.4533176238,11017.0008477676
"status quo","months 1 to 3","40 to 49yo",60.1467545255257,2794.42596877179,2734.46691354171,48.8258063705231,2045.31312728149,1984.08403329406,72.6624956387511,7250.28466086301,7196.41568744021
"ceasefire","months 4 to 6","40 to 49yo",55.4623529595708,673.940310695694,618.52244354738,44.7827995308657,171.218442168963,116.409735790396,67.1248649197025,7266.54422785264,7214.07192325565
"escalation","months 4 to 6","40 to 49yo",55.461982808903,4099.0438425682,4044.65263656796,44.7757905839067,2625.17691028404,2567.42007217005,67.0889214014525,18589.6194405463,18543.4425432528
"status quo","months 4 to 6","40 to 49yo",55.4772344547152,3184.28107346685,3129.85070851754,44.7971747506521,2036.52217339446,1979.04745405463,67.1322300301298,14693.9316983816,14646.8311451148
"ceasefire","months 1 to 3","50 to 59yo",130.7676585917,619.316751828361,488.006138497332,108.235764004058,329.368877688888,198.336249208139,155.37652061283,2336.09218540518,2210.34639081657
"escalation","months 1 to 3","50 to 59yo",130.765642330576,2912.4270027068,2784.4513523787,108.197568328975,2090.32809590058,1956.0059120448,155.180641347969,8224.9091471488,8109.80198437523
"status quo","months 1 to 3","50 to 59yo",130.848720101715,2291.18551013515,2161.80461450419,108.314072676983,1624.19641891328,1491.91410264546,155.416613541192,5502.50597764659,5382.91274427712
"ceasefire","months 4 to 6","50 to 59yo",121.614530726645,632.75105722736,511.578732767038,100.386903863772,259.122918080061,137.804316869087,144.154475121848,5016.8364316107,4900.54112619299
"escalation","months 4 to 6","50 to 59yo",121.613815183784,3153.13681089715,3034.42381778776,100.373348764133,2072.18623462114,1947.47991304371,144.084960374032,12876.0307028876,12771.796768242
"status quo","months 4 to 6","50 to 59yo",121.643298327617,2468.32109610521,2349.36563582834,100.414694559695,1611.09972983569,1486.57919408935,144.168703614082,10137.4141842867,10031.2394528487
"ceasefire","months 1 to 3","60 to 69yo",183.528421051961,668.003099444322,484.263037880015,153.120826332329,395.273962589145,209.745555076927,216.24724444116,1994.27018090018,1819.52214404038
"escalation","months 1 to 3","60 to 69yo",183.526101193169,2270.69602789121,2092.22727009341,153.076838137449,1576.18928934892,1388.1495200222,216.021652213515,6069.34552454241,5909.72320196244
"status quo","months 1 to 3","60 to 69yo",183.621688347289,1818.02299159782,1637.57378523675,153.210937936444,1235.11481318661,1049.01329168949,216.29331237243,4264.42419878741,4098.46500376367
"ceasefire","months 4 to 6","60 to 69yo",176.318071622248,661.433451800899,486.1999601047,146.644166509913,330.465228697395,153.485395901937,207.405817479607,3925.46179617541,3758.72006961676
"escalation","months 4 to 6","60 to 69yo",176.316804571095,2454.46172368635,2283.38713490672,146.620141129787,1557.54110833032,1377.07342312961,207.282603999509,9750.7798379678,9602.41627606559
"status quo","months 4 to 6","60 to 69yo",176.369011989646,1948.85374049543,1777.29920777829,146.693383556205,1221.45626211537,1041.03957752931,207.430978720333,7761.56158619069,7609.68151291625
"ceasefire","months 1 to 3","70 to 79yo",232.431634876955,744.489996813349,513.67958932386,194.297676558561,436.098940624832,200.294485413774,273.010586476166,1911.42778798002,1695.04232803039
"escalation","months 1 to 3","70 to 79yo",232.428182566332,1484.55687569752,1260.54798555803,194.232028861325,804.116156618551,565.537327112865,272.673882014869,4313.51656399959,4116.04621766278
"status quo","months 1 to 3","70 to 79yo",232.570430982363,1231.83397434623,1004.83391126867,194.43182997587,648.476590777147,412.458934546998,273.078862129449,3208.26972770664,3001.97323425633
"ceasefire","months 4 to 6","70 to 79yo",220.957182285182,644.346527531033,425.641965017244,184.080847567088,379.474545045263,157.025313669819,259.230511229397,2555.23288241102,2349.94523751686
"escalation","months 4 to 6","70 to 79yo",220.955361110347,1467.3123516332,1253.63498604556,184.046216183422,782.047430707169,555.69651625204,259.052888220467,5604.24273725323,5420.28522262645
"status quo","months 4 to 6","70 to 79yo",221.030400535017,1190.22803289327,975.810217126423,184.151617844571,631.953268583066,405.076494462692,259.266527701197,4477.81909777934,4288.02811312743
"ceasefire","months 1 to 3","80 to 100yo",304.907353126647,897.316552422649,606.678334448581,258.241739442614,559.031330696055,253.443040819596,353.989561631784,1879.32213871043,1618.35258797434
"escalation","months 1 to 3","80 to 100yo",304.902927712876,1240.65469866026,962.494676064268,258.156084814891,661.42930107502,356.143887428599,353.549977629717,3186.37162142293,2957.29440506596
