date,North Gaza,North Gazasmooth,Gaza,Gazasmooth,Deir Al-Balah,Deir Al-Balahsmooth,Khan Younis,Khan Younissmooth,Rafah,Rafahsmooth
2/5/24,0.17035157,0.173457345,0.081552569,0.085181459,0.181905984,0.185560582,0.099848131,0.10585769,1.756039746,1.739640924
2/4/24,0.170621487,0.174203964,0.083816204,0.085985276,0.182194209,0.186195031,0.101058284,0.108325292,1.752007816,1.734988437
2/3/24,0.171478544,0.17528981,0.086033914,0.087033139,0.183109397,0.187265548,0.103663045,0.111533605,1.7454131,1.728575899
2/2/24,0.172726651,0.176779729,0.088056739,0.088281831,0.184442159,0.188810417,0.107593533,0.115608017,1.736878917,1.720218005
2/1/24,0.174602031,0.178713715,0.089707624,0.089677209,0.18644474,0.190852977,0.112906142,0.120687266,1.726037464,1.709766832
1/31/24,0.176920453,0.181098585,0.090988667,0.091156266,0.188920413,0.193389185,0.119265035,0.12693957,1.713603432,1.697114394
1/30/24,0.179361997,0.183897073,0.092122844,0.092645526,0.19152756,0.196373081,0.126029289,0.134577968,1.700656309,1.682204352
1/29/24,0.18239476,0.18701565,0.093742285,0.094056819,0.194766026,0.199701721,0.132484296,0.143868095,1.686310634,1.665055715
1/28/24,0.186216151,0.190294736,0.095643233,0.095283437,0.19884661,0.203203474,0.138987836,0.1551211,1.67000417,1.645795253
1/27/24,0.191341415,0.193506755,0.097967832,0.096200462,0.204319504,0.20663533,0.146755621,0.168666709,1.649313627,1.624688743
1/26/24,0.198780351,0.196367381,0.101086566,0.096672348,0.212263001,0.209694797,0.157450913,0.184805933,1.620117169,1.602157541
1/25/24,0.207029193,0.198563123,0.103791444,0.096568697,0.221071335,0.212049721,0.171261478,0.203748409,1.586544551,1.578768051
1/24/24,0.214993396,0.199793716,0.105800068,0.095786161,0.229575726,0.213384399,0.190154326,0.225544761,1.549174484,1.555188963
1/23/24,0.220645166,0.199822372,0.105797804,0.094271533,0.235610838,0.213454587,0.216209083,0.250028725,1.511435108,1.532120783
1/22/24,0.220571539,0.198522642,0.102494324,0.092039672,0.235532216,0.212139602,0.2520605,0.276783893,1.479039421,1.510212191
1/21/24,0.214278286,0.195909722,0.096177361,0.089180534,0.228812112,0.209478311,0.290968544,0.30514692,1.459461698,1.489982513
1/20/24,0.203403022,0.192146982,0.088557826,0.085852231,0.217199212,0.205679239,0.333412833,0.334251981,1.447125107,1.471767567
1/19/24,0.190108637,0.187524864,0.080210427,0.082260893,0.203003111,0.20110173,0.378448915,0.363112548,1.43792691,1.455697964
1/18/24,0.177945412,0.182416861,0.073406181,0.07863184,0.190014893,0.196213159,0.420957817,0.390727178,1.427373697,1.441708962
1/17/24,0.16892564,0.177223396,0.068684159,0.075178849,0.180439738,0.191533826,0.454126996,0.416190065,1.417521467,1.429571863
1/16/24,0.161507088,0.172316786,0.06517554,0.07207834,0.172677306,0.187584562,0.481245141,0.438784831,1.409092924,1.418933481
1/15/24,0.156559063,0.167998846,0.062860652,0.069453396,0.167752969,0.184849367,0.500743922,0.458043812,1.401781393,1.40935258
1/14/24,0.154348691,0.164477918,0.061973157,0.067369369,0.16615757,0.18376019,0.509862667,0.47376292,1.397355915,1.400327603
1/13/24,0.1533811,0.161866051,0.061584656,0.065839695,0.166703497,0.184702547,0.51270697,0.485973438,1.395321778,1.391316269
1/12/24,0.152846667,0.160192003,0.061370073,0.06483836,0.169338761,0.188032695,0.514304124,0.494882217,1.391838375,1.381752725
1/11/24,0.153428743,0.159422887,0.061603785,0.064314716,0.174300189,0.194091094,0.514926971,0.500799218,1.385438312,1.371070086
1/10/24,0.154611917,0.159487155,0.062078846,0.064206871,0.180254088,0.203195867,0.515641774,0.504072503,1.377111376,1.358735604
1/9/24,0.155642086,0.160293473,0.062492473,0.064451402,0.186618942,0.215603574,0.51861279,0.505046519,1.36633171,1.344303032
1/8/24,0.157078491,0.161742992,0.06306921,0.064988699,0.19460907,0.231435108,0.519700186,0.504050157,1.355241043,1.327481044
