"scenario","age","gender","all_mean","all_median","all_lci","all_uci","counted_mean","counted_median","counted_lci","counted_uci","uncounted_mean","uncounted_median","uncounted_lci","uncounted_uci"
"escalation","15 to 19yo","male",3803.12369943778,3789.80327684913,3334.87760156938,4272.3171050131,3230.21734697202,3216.72403906825,2818.73790563713,3651.06222239915,572.906352465756,573.045982427468,516.139734303056,621.254882613952
"ceasefire","20 to 29yo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","20 to 29yo","male",6979.48813147726,6981.21269825646,6071.86989310322,7961.96306847455,5916.79535110058,5913.93829501751,5188.85416161112,6730.62037086194,1062.69278037668,1067.40339093929,883.015731492106,1231.34269761261
"escalation","20 to 29yo","male",8933.87726719103,8902.16143261394,7834.592189705,10038.1452238659,7588.06969967911,7556.34289274699,6622.03064643755,8578.45798815507,1345.80756751192,1346.16586313895,1212.56154326746,1459.68723571086
"ceasefire","30 to 39yo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","30 to 39yo","male",5551.44733827181,5551.36943430055,4832.77688509437,6341.09715095917,4706.1838061138,4703.21357262341,4129.93423049283,5360.20511082824,845.263532158013,848.878093429292,702.057383452762,980.892040130935
"escalation","30 to 39yo","male",7111.67395921978,7088.24219285916,6241.72626367929,7995.65586572642,6040.36960344702,6016.4085990159,5275.69292746002,6833.73499556846,1071.30435577275,1071.59616052913,966.033336219271,1161.92087015797
"ceasefire","40 to 49yo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","40 to 49yo","male",2621.45098829955,2627.12260245903,2281.40744154243,2995.41794562498,2222.30251869061,2225.65384859224,1947.31739151801,2531.91394596409,399.148469608939,401.583887708355,331.681118556388,463.503999660892
"escalation","40 to 49yo","male",3368.71742254304,3357.52128458352,2952.71727991517,3789.52803010181,2861.2618260334,2849.93477078969,2495.99710566087,3239.06474314206,507.455596509645,508.005651059749,456.720174254299,551.459806207882
"ceasefire","50 to 59yo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","50 to 59yo","male",1821.90489198187,1820.95916739391,1543.84419879408,2113.4108303604,1544.48515639529,1542.60257267351,1319.47327960057,1786.33381031364,277.419735586579,278.511290292795,224.764479005241,327.077020046755
"escalation","50 to 59yo","male",2361.53214433981,2361.1667646047,2038.31915217707,2687.11061604023,2005.81355626706,2003.1219080484,1723.15970622659,2295.72200287266,355.718588072746,356.408291489662,315.448404573045,392.270747180556
"ceasefire","60 to 69yo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","60 to 69yo","male",1151.26475363346,1150.56601837232,938.957034022908,1380.93111453231,975.953438860026,976.40518708051,798.501666204034,1167.70664026402,175.311314773438,175.368705825627,138.101628516631,213.664824726041
"escalation","60 to 69yo","male",1507.88798127871,1511.01148036624,1263.79010182348,1752.58018590426,1280.76717444738,1283.35855044392,1068.45250580492,1497.47002673585,227.120806831329,228.262473957147,195.328524279325,256.001365628957
"ceasefire","70 to 79yo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","70 to 79yo","male",434.739459128652,436.256973082623,245.098350222729,624.994410175935,368.518849108748,370.311813521187,208.37090168422,528.472017145636,66.2206100199036,66.1775695897093,36.2912721374075,96.5223930302986
"escalation","70 to 79yo","male",602.493148448621,607.83108790475,404.423797216316,799.195147261476,511.771772215671,516.642809733262,342.026164689597,680.629101946046,90.7213762329503,91.5918424166204,62.0482797520699,117.667053121514
"ceasefire","80 to 100yo","male",0,0,0,0,0,0,0,0,0,0,0,0
