"scenario","age","gender","period","mean","lci","uci","deaths"
"status quo","15 to 19yo","male","total","2,963","2,587","3,386","2,963 (2,587 to 3,386)"
"ceasefire","20 to 29yo","male","total","412","368","462","412 (368 to 462)"
"escalation","20 to 29yo","male","total","8,885","7,860","10,096","8,885 (7,860 to 10,096)"
"status quo","20 to 29yo","male","total","6,958","6,078","7,951","6,958 (6,078 to 7,951)"
"ceasefire","30 to 39yo","male","total","329","294","369","329 (294 to 369)"
"escalation","30 to 39yo","male","total","7,069","6,252","8,032","7,069 (6,252 to 8,032)"
"status quo","30 to 39yo","male","total","5,532","4,832","6,314","5,532 (4,832 to 6,314)"
"ceasefire","40 to 49yo","male","total","157","141","177","157 (141 to 177)"
"escalation","40 to 49yo","male","total","3,343","2,944","3,812","3,343 (2,944 to 3,812)"
"status quo","40 to 49yo","male","total","2,609","2,269","2,985","2,609 (2,269 to 2,985)"
"ceasefire","50 to 59yo","male","total","114","101","127","114 (101 to 127)"
"escalation","50 to 59yo","male","total","2,339","2,024","2,691","2,339 (2,024 to 2,691)"
"status quo","50 to 59yo","male","total","1,811","1,548","2,100","1,811 (1,548 to 2,100)"
"ceasefire","60 to 69yo","male","total","75","67","84","75 (67 to 84)"
"escalation","60 to 69yo","male","total","1,488","1,247","1,744","1,488 (1,247 to 1,744)"
"status quo","60 to 69yo","male","total","1,140","929","1,358","1,140 (929 to 1,358)"
"ceasefire","70 to 79yo","male","total","35","31","39","35 (31 to 39)"
"escalation","70 to 79yo","male","total","590","396","783","590 (396 to 783)"
"status quo","70 to 79yo","male","total","428","244","607","428 (244 to 607)"
"ceasefire","80 to 100yo","male","total","9","8","10","9 (8 to 10)"
"escalation","80 to 100yo","male","total","44","0","183","44 (0 to 183)"
"status quo","80 to 100yo","male","total","28","0","145","28 (0 to 145)"
"ceasefire","0mo","female","total","2","2","2","2 (2 to 2)"
"escalation","0mo","female","total","9","0","45","9 (0 to 45)"
"status quo","0mo","female","total","6","0","35","6 (0 to 35)"
"ceasefire","1 to 11mo","female","total","24","22","27","24 (22 to 27)"
"escalation","1 to 11mo","female","total","519","456","591","519 (456 to 591)"
"status quo","1 to 11mo","female","total","404","351","464","404 (351 to 464)"
"ceasefire","12 to 59mo","female","total","141","126","158","141 (126 to 158)"
"escalation","12 to 59mo","female","total","2,998","2,646","3,416","2,998 (2,646 to 3,416)"
"status quo","12 to 59mo","female","total","2,340","2,039","2,676","2,340 (2,039 to 2,676)"
"ceasefire","5 to 9yo","female","total","174","155","195","174 (155 to 195)"
"escalation","5 to 9yo","female","total","3,745","3,310","4,253","3,745 (3,310 to 4,253)"
"status quo","5 to 9yo","female","total","2,931","2,561","3,345","2,931 (2,561 to 3,345)"
"ceasefire","10 to 14yo","female","total","149","133","167","149 (133 to 167)"
"escalation","10 to 14yo","female","total","3,213","2,843","3,651","3,213 (2,843 to 3,651)"
"status quo","10 to 14yo","female","total","2,516","2,197","2,876","2,516 (2,197 to 2,876)"
"ceasefire","15 to 19yo","female","total","121","108","136","121 (108 to 136)"
"escalation","15 to 19yo","female","total","2,606","2,305","2,961","2,606 (2,305 to 2,961)"
"status quo","15 to 19yo","female","total","2,040","1,784","2,330","2,040 (1,784 to 2,330)"
"ceasefire","20 to 29yo","female","total","274","244","307","274 (244 to 307)"
"escalation","20 to 29yo","female","total","5,891","5,208","6,692","5,891 (5,208 to 6,692)"
"status quo","20 to 29yo","female","total","4,612","4,031","5,266","4,612 (4,031 to 5,266)"
"ceasefire","30 to 39yo","female","total","207","184","232","207 (184 to 232)"
"escalation","30 to 39yo","female","total","4,424","3,906","5,028","4,424 (3,906 to 5,028)"
"status quo","30 to 39yo","female","total","3,459","3,022","3,949","3,459 (3,022 to 3,949)"
"ceasefire","40 to 49yo","female","total","114","102","128","114 (102 to 128)"
"escalation","40 to 49yo","female","total","2,399","2,102","2,738","2,399 (2,102 to 2,738)"
"status quo","40 to 49yo","female","total","1,868","1,621","2,150","1,868 (1,621 to 2,150)"
"ceasefire","50 to 59yo","female","total","92","82","103","92 (82 to 103)"
"escalation","50 to 59yo","female","total","1,866","1,596","2,155","1,866 (1,596 to 2,155)"
"status quo","50 to 59yo","female","total","1,439","1,215","1,682","1,439 (1,215 to 1,682)"
"ceasefire","60 to 69yo","female","total","67","60","75","67 (60 to 75)"
"escalation","60 to 69yo","female","total","1,318","1,095","1,555","1,318 (1,095 to 1,555)"
"status quo","60 to 69yo","female","total","1,007","811","1,208","1,007 (811 to 1,208)"
"ceasefire","70 to 79yo","female","total","26","23","29","26 (23 to 29)"
"escalation","70 to 79yo","female","total","401","219","576","401 (219 to 576)"
"status quo","70 to 79yo","female","total","280","105","451","280 (105 to 451)"
"ceasefire","80 to 100yo","female","total","13","11","14","13 (11 to 14)"
"escalation","80 to 100yo","female","total","85","0","260","85 (0 to 260)"
"status quo","80 to 100yo","female","total","53","0","206","53 (0 to 206)"
